id;execution_start_time;execution_end_time;execution_status;action_log;action_id
1;2019-10-30T18:58:41;2019-10-31T07:54:27;SUCCESS;innovate Yemeni Rial Games;1
2;2019-10-30T13:49:52;2019-10-31T11:36:04;EXECUTING;bypass;2
3;2019-10-30T19:53:46;2019-10-30T18:39:44;PENDING;incubate program Kuwaiti Dinar;3
4;2019-10-30T12:35:37;2019-10-30T14:20:19;CANCELLED;mint green XML;4
5;2019-10-31T10:31:47;2019-10-30T16:09:00;CANCELLED;Table knowledge user actuating;5
6;2019-10-30T17:15:36;2019-10-31T03:03:04;EXECUTING;redefine;6
7;2019-10-30T23:22:59;2019-10-31T04:52:42;PENDING;Kansas Camp;7
8;2019-10-31T00:57:43;2019-10-30T21:19:41;EXECUTING;Argentina Rustic Soft Towels;8
9;2019-10-31T12:00:11;2019-10-31T07:28:09;SUCCESS;Down-sized Identity Assistant;9
10;2019-10-30T15:29:53;2019-10-30T20:47:07;PENDING;cross-platform;10
