id;action_code;script_name;script_type;action_type;action_source;endpoint_id
1;Bermudian Dollar (cu;Incredible Rubber Fish;SQL_SCRIPT;SMS;dot-com;1
2;Accounts knowledge b;mindshare moratorium;SQL_SCRIPT;SCRIPT;Upgradable withdrawal Books;2
3;withdrawal;Avon Tactics;SHELL_SCRIPT;SMS;client-driven tan;3
4;applications Canada ;Creative Squares cyan;SHELL_SCRIPT;SCRIPT;Upgradable;4
5;Optional database ba;interfaces discrete;SHELL_SCRIPT;SCRIPT;Mandatory olive Metal;5
6;system transmitting ;Handmade SAS Idaho;SHELL_SCRIPT;SMS;Awesome Internal asynchronous;6
7;Rustic info-mediarie;array;SHELL_SCRIPT;EMAIL;synergies Beauty Lead;7
8;Cambridgeshire;program;SQL_SCRIPT;SCRIPT;white;8
9;hierarchy;Fantastic Cotton Bike Small Legacy;SHELL_SCRIPT;SMS;Ergonomic cyan Missouri;9
10;SAS turn-key black;microchip;SQL_SCRIPT;EMAIL;copy;10
