id;agent_name;agent_instance_id;listen_uri;agent_type;agent_status;agent_description
1;integrated Belize Dollar Coordinator;bypassing connecting;invoice North Carolina;SQL_AGENT;ACTIVE;turquoise
2;markets;Bacon copying Money Market Account;deposit bleeding-edge Avon;SQL_AGENT;DISCONNECTED;AI Ball
3;navigating Tasty Fresh Fish;Jewelery;Pants override bi-directional;SHELL_AGENT;DISCONNECTED;Vietnam Sleek Soft Chips
4;Convertible Marks Jewelery;Money Market Account;orchid;SQL_AND_SHELL_AGENT;PASSIVE;index
5;Accountability relationships;Intuitive California;Architect e-business alarm;SQL_AND_SHELL_AGENT;DISCONNECTED;didactic niches
6;Baht;index Shirt;Total Polarised;SQL_AND_SHELL_AGENT;PASSIVE;Cross-group Awesome Industrial
7;Granite;Greenland matrices Rapid;Rustic parse;SHELL_AGENT;DISCONNECTED;alarm red
8;Tasty Granite Chips Towels;Towels;haptic;SHELL_AGENT;ACTIVE;Assistant
9;payment capability;Enterprise-wide Avon;Auto Loan Account New Jersey;SHELL_AGENT;DISCONNECTED;non-volatile protocol Berkshire
10;auxiliary Research;B2C;Synergized Hawaii;SQL_AGENT;PASSIVE;Division Fork plum
