id;mapper_name;item_format;contains_header;field_delimiter
1;Garden;SQL_RESULTSET;false;Michigan Wisconsin
2;Salad internet solution Usability;DELIMITED_TEXT;true;Auto Loan Account Frozen Accountability
3;solid state Manat utilisation;JSON;true;cross-platform
4;Grocery;SQL_RESULTSET;false;Senior
5;bandwidth-monitored Awesome Plastic Bacon Strategist;XML;true;Ergonomic Functionality
6;pink;ANY;true;bleeding-edge
7;Factors Cheese;XML;false;Maryland Gorgeous Uzbekistan Sum
8;Maldives invoice gold;DELIMITED_TEXT;false;alarm France ADP
9;withdrawal initiatives open-source;XML;false;Borders
10;neural Borders;JSON;true;panel
