id;endpoint_name;endpoint_instance_id;endpoint_type;endpoint_spec;endpoint_description
1;Sausages Vista Buckinghamshire;Boliviano Mvdol Manager Pine;SSH;POSTGRESQL;Plastic
2;Money Market Account;Money Market Account;REST;ANY;indexing e-business THX
3;transform Sleek Soft Mouse;feed Berkshire Pre-emptive;FTP;POSTGRESQL;Vermont TCP
4;Steel;Jewelery;DATABASE;ORACLE;Home Loan Account fuchsia monitor
5;contingency hacking Facilitator;Grocery Berkshire programming;SSH;ANY;New Jersey
6;program extranet;leading-edge;FILE_SYSTEM;MONGODB;conglomeration
7;open-source THX;systems;FTP;ORACLE;Singapore generate Facilitator
8;structure;indigo;FILE_SYSTEM;MYSQL;Games Salad
9;harness;partnerships digital;SSH;ORACLE;extensible
10;Savings Account red;programming Avon calculating;SSH;MYSQL;well-modulated system 24/7
