id;trigger_name;trigger_type;trigger_period;trigger_time_unit;trigger_cron_expression;trigger_cron_time_zone
1;Central Cape Verde Escudo Isle;PERIODIC;68194;SECOND;system withdrawal;Bike Granite
2;calculating deliver Oregon;PERIODIC;67889;MINUTE;exuding Soft;value-added Avon Small Concrete Soap
3;Investment Account Human Mouse;PERIODIC;14447;HOUR;invoice Markets;Handmade
4;eyeballs Jewelery yellow;CRON;71170;DAY;Sleek Representative;Mobility
5;Uzbekistan Sum;MANUAL;33271;MINUTE;Avon Nakfa;copying Home Loan Account sky blue
6;withdrawal hybrid;MANUAL;1503;MINUTE;transparent;parsing parse
7;Salad 24/7;MANUAL;22878;MINUTE;complexity Michigan;teal open-source matrix
8;Checking Account Orchestrator;PERIODIC;10282;SECOND;deposit;Steel
9;HDD;MANUAL;72050;HOUR;Ergonomic Concrete Keyboard parse Business-focused;Small
10;Mali Australian Dollar;EVENT;18363;SECOND;Buckinghamshire;Implemented Home
