id;execution_start_time;execution_end_time;total_task_count;running_task_count;error_task_count;execution_status;flow_id
1;2019-10-30T16:02:05;2019-10-31T06:38:09;57884;80;30112;FAILED;1
2;2019-10-30T13:04:22;2019-10-30T13:37:30;37149;15177;61559;SUCCESS;2
3;2019-10-30T19:12:03;2019-10-30T18:52:51;87743;66939;5765;CANCELLED;3
4;2019-10-30T18:31:39;2019-10-30T13:50:12;49641;31450;66338;PENDING;4
5;2019-10-31T09:40:40;2019-10-31T12:10:02;27761;84911;89938;EXECUTING;5
6;2019-10-30T13:57:24;2019-10-31T10:30:06;54254;94552;58315;FAILED;6
7;2019-10-31T08:44:22;2019-10-30T23:17:30;24547;40275;75895;PENDING;7
8;2019-10-31T04:08:59;2019-10-31T05:32:14;24533;55841;61275;EXECUTING;8
9;2019-10-31T02:31:36;2019-10-30T13:05:50;85422;46737;82328;SUCCESS;9
10;2019-10-30T19:51:26;2019-10-30T15:52:08;74167;31309;2202;EXECUTING;10
