id;execution_start_time;execution_end_time;execution_status;task_id;flow_execution_id
1;2019-10-30T13:09:28;2019-10-31T03:12:27;CANCELLED;1;1
2;2019-10-30T16:27:13;2019-10-30T20:17:09;CANCELLED;2;2
3;2019-10-30T20:48:48;2019-10-30T18:31:54;CANCELLED;3;3
4;2019-10-30T22:38:26;2019-10-30T18:38:17;EXECUTING;4;4
5;2019-10-31T00:54:13;2019-10-31T00:37:44;CANCELLED;5;5
6;2019-10-31T03:12:58;2019-10-31T01:33:39;CANCELLED;6;6
7;2019-10-31T00:30:20;2019-10-31T05:46:59;EXECUTING;7;7
8;2019-10-31T05:36:56;2019-10-30T18:15:30;FAILED;8;8
9;2019-10-31T07:36:48;2019-10-30T22:33:25;CANCELLED;9;9
10;2019-10-31T01:09:26;2019-10-30T21:34:23;SUCCESS;10;10
